rnd-1_family-443#LINE/RTE-BovB rnd-1_family-443#LINE/RTE-BovB rnd-1_family-443#LINE/RTE-BovB
rnd-1_family-197#LINE/CR1 rnd-1_family-197#LINE/CR1 rnd-1_family-197#LINE/CR1
rnd-1_family-66#LINE/RTE-BovB rnd-1_family-66#LINE/RTE-BovB rnd-1_family-66#LINE/RTE-BovB
rnd-1_family-308#DNA/CMC-EnSpm rnd-1_family-308#DNA/CMC-EnSpm rnd-1_family-308#DNA/CMC-EnSpm
rnd-1_family-170#LINE/CR1 rnd-1_family-170#LINE/CR1 rnd-1_family-170#LINE/CR1
rnd-1_family-217#Unknown rnd-1_family-217#Unknown rnd-1_family-217#Unknown
rnd-1_family-244#Unknown rnd-1_family-244#Unknown rnd-1_family-244#Unknown
rnd-1_family-262#Unknown rnd-1_family-262#Unknown rnd-1_family-262#Unknown
rnd-1_family-188#LINE/RTE-BovB rnd-1_family-188#LINE/RTE-BovB rnd-1_family-188#LINE/RTE-BovB
rnd-1_family-406#LINE/CR1-Zenon rnd-1_family-406#LINE/CR1-Zenon rnd-1_family-406#LINE/CR1-Zenon
rnd-1_family-89#LINE/CR1 rnd-1_family-89#LINE/CR1 rnd-1_family-89#LINE/CR1
rnd-1_family-5#LTR/Pao rnd-1_family-5#LTR/Pao rnd-1_family-5#LTR/Pao
rnd-1_family-404#Unknown rnd-1_family-404#Unknown rnd-1_family-404#Unknown
rnd-1_family-291#LINE/RTE-BovB rnd-1_family-291#LINE/RTE-BovB rnd-1_family-291#LINE/RTE-BovB
rnd-1_family-105#LTR/Pao rnd-1_family-105#LTR/Pao rnd-1_family-105#LTR/Pao
rnd-1_family-171#Unknown rnd-1_family-171#Unknown rnd-1_family-171#Unknown
rnd-1_family-325#Unknown rnd-1_family-325#Unknown rnd-1_family-325#Unknown
rnd-1_family-86#LINE/CR1 rnd-1_family-86#LINE/CR1 rnd-1_family-86#LINE/CR1
rnd-1_family-240#LINE/CR1 rnd-1_family-240#LINE/CR1 rnd-1_family-240#LINE/CR1
rnd-1_family-278#LINE/CR1 rnd-1_family-278#LINE/CR1 rnd-1_family-278#LINE/CR1
rnd-1_family-270#LINE/Penelope rnd-1_family-270#LINE/Penelope rnd-1_family-270#LINE/Penelope
rnd-1_family-254#Unknown rnd-1_family-254#Unknown rnd-1_family-254#Unknown
rnd-1_family-121#Unknown rnd-1_family-121#Unknown rnd-1_family-121#Unknown
rnd-1_family-180#Unknown rnd-1_family-180#Unknown rnd-1_family-180#Unknown
rnd-1_family-288#LTR/Gypsy rnd-1_family-288#LTR/Gypsy rnd-1_family-288#LTR/Gypsy
rnd-1_family-250#Unknown rnd-1_family-250#Unknown rnd-1_family-250#Unknown
rnd-1_family-409#Unknown rnd-1_family-409#Unknown rnd-1_family-409#Unknown
rnd-1_family-292#Unknown rnd-1_family-292#Unknown rnd-1_family-292#Unknown
rnd-1_family-213#Unknown rnd-1_family-213#Unknown rnd-1_family-213#Unknown
rnd-1_family-426#Unknown rnd-1_family-426#Unknown rnd-1_family-426#Unknown
rnd-1_family-73#Unknown rnd-1_family-73#Unknown rnd-1_family-73#Unknown
rnd-1_family-414#Unknown rnd-1_family-414#Unknown rnd-1_family-414#Unknown
rnd-1_family-293#LTR/Copia rnd-1_family-293#LTR/Copia rnd-1_family-293#LTR/Copia
rnd-1_family-448#Unknown rnd-1_family-448#Unknown rnd-1_family-448#Unknown
rnd-1_family-220#Unknown rnd-1_family-220#Unknown rnd-1_family-220#Unknown
rnd-1_family-94#LINE/Penelope rnd-1_family-94#LINE/Penelope rnd-1_family-94#LINE/Penelope
rnd-1_family-350#LINE/Rex-Babar rnd-1_family-350#LINE/Rex-Babar rnd-1_family-350#LINE/Rex-Babar
rnd-1_family-39#LINE/CR1 rnd-1_family-39#LINE/CR1 rnd-1_family-39#LINE/CR1
rnd-1_family-4#Unknown rnd-1_family-4#Unknown rnd-1_family-4#Unknown
rnd-1_family-140#Unknown rnd-1_family-140#Unknown rnd-1_family-140#Unknown
rnd-1_family-138#Unknown rnd-1_family-138#Unknown rnd-1_family-138#Unknown
rnd-1_family-87#Unknown rnd-1_family-87#Unknown rnd-1_family-87#Unknown
rnd-1_family-246#LTR/Gypsy rnd-1_family-246#LTR/Gypsy rnd-1_family-246#LTR/Gypsy
rnd-1_family-362#Unknown rnd-1_family-362#Unknown rnd-1_family-362#Unknown
rnd-1_family-289#Unknown rnd-1_family-289#Unknown rnd-1_family-289#Unknown
rnd-1_family-277#LTR/Gypsy rnd-1_family-277#LTR/Gypsy rnd-1_family-277#LTR/Gypsy
rnd-1_family-12#LTR/Pao rnd-1_family-12#LTR/Pao rnd-1_family-12#LTR/Pao
rnd-1_family-226#Unknown rnd-1_family-226#Unknown rnd-1_family-226#Unknown
rnd-1_family-112#Unknown rnd-1_family-112#Unknown rnd-1_family-112#Unknown
rnd-1_family-119#LINE/CR1 rnd-1_family-119#LINE/CR1 rnd-1_family-119#LINE/CR1
rnd-1_family-93#LINE/CR1 rnd-1_family-93#LINE/CR1 rnd-1_family-93#LINE/CR1
rnd-1_family-24#Unknown rnd-1_family-24#Unknown rnd-1_family-24#Unknown
rnd-1_family-356#Unknown rnd-1_family-356#Unknown rnd-1_family-356#Unknown
rnd-1_family-390#Unknown rnd-1_family-390#Unknown rnd-1_family-390#Unknown
rnd-1_family-45#Unknown rnd-1_family-45#Unknown rnd-1_family-45#Unknown
rnd-1_family-162#Unknown rnd-1_family-162#Unknown rnd-1_family-162#Unknown
rnd-1_family-313#LINE/CR1 rnd-1_family-313#LINE/CR1 rnd-1_family-313#LINE/CR1
rnd-1_family-338#LINE/CR1 rnd-1_family-338#LINE/CR1 rnd-1_family-338#LINE/CR1
rnd-1_family-333#LTR/Gypsy rnd-1_family-333#LTR/Gypsy rnd-1_family-333#LTR/Gypsy
rnd-1_family-156#Unknown rnd-1_family-156#Unknown rnd-1_family-156#Unknown
rnd-1_family-353#Unknown rnd-1_family-353#Unknown rnd-1_family-353#Unknown
rnd-1_family-1#LINE/RTE-BovB rnd-1_family-1#LINE/RTE-BovB rnd-1_family-1#LINE/RTE-BovB
rnd-1_family-35#Unknown rnd-1_family-35#Unknown rnd-1_family-35#Unknown
rnd-1_family-60#LINE/CR1 rnd-1_family-60#LINE/CR1 rnd-1_family-60#LINE/CR1
rnd-1_family-23#Unknown rnd-1_family-23#Unknown rnd-1_family-23#Unknown
rnd-1_family-271#Unknown rnd-1_family-271#Unknown rnd-1_family-271#Unknown
rnd-1_family-387#DNA/MULE-MuDR rnd-1_family-387#DNA/MULE-MuDR rnd-1_family-387#DNA/MULE-MuDR
rnd-1_family-316#Unknown rnd-1_family-316#Unknown rnd-1_family-316#Unknown
rnd-1_family-31#Unknown rnd-1_family-31#Unknown rnd-1_family-31#Unknown
rnd-1_family-355#LINE/CR1-Zenon rnd-1_family-355#LINE/CR1-Zenon rnd-1_family-355#LINE/CR1-Zenon
rnd-1_family-276#LINE/CR1-Zenon rnd-1_family-276#LINE/CR1-Zenon rnd-1_family-276#LINE/CR1-Zenon
rnd-1_family-116#LINE/CR1 rnd-1_family-116#LINE/CR1 rnd-1_family-116#LINE/CR1
rnd-1_family-232#LINE/Penelope rnd-1_family-232#LINE/Penelope rnd-1_family-232#LINE/Penelope
rnd-1_family-64#LINE/RTE-BovB rnd-1_family-64#LINE/RTE-BovB rnd-1_family-64#LINE/RTE-BovB
rnd-1_family-173#LINE/RTE-BovB rnd-1_family-173#LINE/RTE-BovB rnd-1_family-173#LINE/RTE-BovB
rnd-1_family-55#DNA/hAT-Charlie rnd-1_family-55#DNA/hAT-Charlie rnd-1_family-55#DNA/hAT-Charlie
rnd-1_family-416#Unknown rnd-1_family-416#Unknown rnd-1_family-416#Unknown
rnd-1_family-158#Unknown rnd-1_family-158#Unknown rnd-1_family-158#Unknown
rnd-1_family-377#Unknown rnd-1_family-377#Unknown rnd-1_family-377#Unknown
rnd-1_family-113#LINE/RTE-BovB rnd-1_family-113#LINE/RTE-BovB rnd-1_family-113#LINE/RTE-BovB
rnd-1_family-125#LTR/Pao rnd-1_family-125#LTR/Pao rnd-1_family-125#LTR/Pao
rnd-1_family-136#Unknown rnd-1_family-136#Unknown rnd-1_family-136#Unknown
rnd-1_family-321#Unknown rnd-1_family-321#Unknown rnd-1_family-321#Unknown
rnd-1_family-183#Unknown rnd-1_family-183#Unknown rnd-1_family-183#Unknown
rnd-1_family-2#LINE/RTE-BovB rnd-1_family-2#LINE/RTE-BovB rnd-1_family-2#LINE/RTE-BovB
rnd-1_family-275#Unknown rnd-1_family-275#Unknown rnd-1_family-275#Unknown
rnd-1_family-102#Unknown rnd-1_family-102#Unknown rnd-1_family-102#Unknown
rnd-1_family-219#Unknown rnd-1_family-219#Unknown rnd-1_family-219#Unknown
rnd-1_family-405#Unknown rnd-1_family-405#Unknown rnd-1_family-405#Unknown
rnd-1_family-199#Unknown rnd-1_family-199#Unknown rnd-1_family-199#Unknown
rnd-1_family-408#Unknown rnd-1_family-408#Unknown rnd-1_family-408#Unknown
rnd-1_family-309#Unknown rnd-1_family-309#Unknown rnd-1_family-309#Unknown
rnd-1_family-68#DNA/CMC-EnSpm rnd-1_family-68#DNA/CMC-EnSpm rnd-1_family-68#DNA/CMC-EnSpm
rnd-1_family-131#Unknown rnd-1_family-131#Unknown rnd-1_family-131#Unknown
rnd-1_family-264#Unknown rnd-1_family-264#Unknown rnd-1_family-264#Unknown
rnd-1_family-127#LINE/RTE-BovB rnd-1_family-127#LINE/RTE-BovB rnd-1_family-127#LINE/RTE-BovB
rnd-1_family-134#Unknown rnd-1_family-134#Unknown rnd-1_family-134#Unknown
rnd-1_family-128#LINE/RTE-BovB rnd-1_family-128#LINE/RTE-BovB rnd-1_family-128#LINE/RTE-BovB
rnd-1_family-56#LINE/RTE-BovB rnd-1_family-56#LINE/RTE-BovB rnd-1_family-56#LINE/RTE-BovB
rnd-1_family-92#LINE/CR1 rnd-1_family-92#LINE/CR1 rnd-1_family-92#LINE/CR1
rnd-1_family-187#LINE/CR1 rnd-1_family-187#LINE/CR1 rnd-1_family-187#LINE/CR1
rnd-1_family-111#LINE/Penelope rnd-1_family-111#LINE/Penelope rnd-1_family-111#LINE/Penelope
rnd-1_family-88#LINE/CR1 rnd-1_family-88#LINE/CR1 rnd-1_family-88#LINE/CR1
rnd-1_family-393#LINE/CR1 rnd-1_family-393#LINE/CR1 rnd-1_family-393#LINE/CR1
rnd-1_family-310#Unknown rnd-1_family-310#Unknown rnd-1_family-310#Unknown
rnd-1_family-25#Unknown rnd-1_family-25#Unknown rnd-1_family-25#Unknown
rnd-1_family-50#LINE/CR1 rnd-1_family-50#LINE/CR1 rnd-1_family-50#LINE/CR1
rnd-1_family-155#Unknown rnd-1_family-155#Unknown rnd-1_family-155#Unknown
rnd-1_family-147#LTR/Gypsy rnd-1_family-147#LTR/Gypsy rnd-1_family-147#LTR/Gypsy
rnd-1_family-13#DNA/CMC-EnSpm rnd-1_family-13#DNA/CMC-EnSpm rnd-1_family-13#DNA/CMC-EnSpm
rnd-1_family-71#LINE/CR1 rnd-1_family-71#LINE/CR1 rnd-1_family-71#LINE/CR1
rnd-1_family-22#LINE/CR1 rnd-1_family-22#LINE/CR1 rnd-1_family-22#LINE/CR1
rnd-1_family-0#LINE/RTE-BovB rnd-1_family-0#LINE/RTE-BovB rnd-1_family-0#LINE/RTE-BovB
rnd-1_family-330#Unknown rnd-1_family-330#Unknown rnd-1_family-330#Unknown
rnd-1_family-281#LINE/CR1 rnd-1_family-281#LINE/CR1 rnd-1_family-281#LINE/CR1
rnd-1_family-422#Unknown rnd-1_family-422#Unknown rnd-1_family-422#Unknown
rnd-1_family-16#Unknown rnd-1_family-16#Unknown rnd-1_family-16#Unknown
rnd-1_family-357#DNA/CMC-EnSpm rnd-1_family-357#DNA/CMC-EnSpm rnd-1_family-357#DNA/CMC-EnSpm
rnd-1_family-222#LINE/Penelope rnd-1_family-222#LINE/Penelope rnd-1_family-222#LINE/Penelope
rnd-1_family-241#Unknown rnd-1_family-241#Unknown rnd-1_family-241#Unknown
rnd-1_family-328#Unknown rnd-1_family-328#Unknown rnd-1_family-328#Unknown
rnd-1_family-99#LINE/RTE-BovB rnd-1_family-99#LINE/RTE-BovB rnd-1_family-99#LINE/RTE-BovB
rnd-1_family-166#LINE/RTE-BovB rnd-1_family-166#LINE/RTE-BovB rnd-1_family-166#LINE/RTE-BovB
rnd-1_family-34#LINE/CR1 rnd-1_family-34#LINE/CR1 rnd-1_family-34#LINE/CR1
rnd-1_family-42#Unknown rnd-1_family-42#Unknown rnd-1_family-42#Unknown
rnd-1_family-354#LINE/Penelope rnd-1_family-354#LINE/Penelope rnd-1_family-354#LINE/Penelope
rnd-1_family-38#Unknown rnd-1_family-38#Unknown rnd-1_family-38#Unknown
rnd-1_family-182#Unknown rnd-1_family-182#Unknown rnd-1_family-182#Unknown
rnd-1_family-437#Unknown rnd-1_family-437#Unknown rnd-1_family-437#Unknown
rnd-1_family-15#Unknown rnd-1_family-15#Unknown rnd-1_family-15#Unknown
rnd-1_family-10#SINE/tRNA rnd-1_family-10#SINE/tRNA rnd-1_family-10#SINE/tRNA
rnd-1_family-70#LINE/RTE-BovB rnd-1_family-70#LINE/RTE-BovB rnd-1_family-70#LINE/RTE-BovB
rnd-1_family-305#LINE/CR1 rnd-1_family-305#LINE/CR1 rnd-1_family-305#LINE/CR1
rnd-1_family-327#LINE/CR1 rnd-1_family-327#LINE/CR1 rnd-1_family-327#LINE/CR1
rnd-1_family-184#LTR/Gypsy rnd-1_family-184#LTR/Gypsy rnd-1_family-184#LTR/Gypsy
rnd-1_family-378#Unknown rnd-1_family-378#Unknown rnd-1_family-378#Unknown
rnd-1_family-62#LINE/RTE-BovB rnd-1_family-62#LINE/RTE-BovB rnd-1_family-62#LINE/RTE-BovB
rnd-1_family-302#Unknown rnd-1_family-302#Unknown rnd-1_family-302#Unknown
rnd-1_family-224#LINE/Penelope rnd-1_family-224#LINE/Penelope rnd-1_family-224#LINE/Penelope
rnd-1_family-36#LINE/RTE-BovB rnd-1_family-36#LINE/RTE-BovB rnd-1_family-36#LINE/RTE-BovB
rnd-1_family-235#Unknown rnd-1_family-235#Unknown rnd-1_family-235#Unknown
rnd-1_family-167#LINE/CR1 rnd-1_family-167#LINE/CR1 rnd-1_family-167#LINE/CR1
rnd-1_family-168#LINE/Penelope rnd-1_family-168#LINE/Penelope rnd-1_family-168#LINE/Penelope
rnd-1_family-361#LINE/RTE-BovB rnd-1_family-361#LINE/RTE-BovB rnd-1_family-361#LINE/RTE-BovB
rnd-1_family-137#Unknown rnd-1_family-137#Unknown rnd-1_family-137#Unknown
rnd-1_family-190#LINE/L1-DRE rnd-1_family-190#LINE/L1-DRE rnd-1_family-190#LINE/L1-DRE
rnd-1_family-198#LINE/CR1 rnd-1_family-198#LINE/CR1 rnd-1_family-198#LINE/CR1
rnd-1_family-126#Unknown rnd-1_family-126#Unknown rnd-1_family-126#Unknown
rnd-1_family-284#Unknown rnd-1_family-284#Unknown rnd-1_family-284#Unknown
rnd-1_family-27#LINE/RTE-BovB rnd-1_family-27#LINE/RTE-BovB rnd-1_family-27#LINE/RTE-BovB
rnd-1_family-392#Unknown rnd-1_family-392#Unknown rnd-1_family-392#Unknown
rnd-1_family-203#Unknown rnd-1_family-203#Unknown rnd-1_family-203#Unknown
rnd-1_family-48#DNA/CMC-EnSpm rnd-1_family-48#DNA/CMC-EnSpm rnd-1_family-48#DNA/CMC-EnSpm
rnd-1_family-202#LTR/Pao rnd-1_family-202#LTR/Pao rnd-1_family-202#LTR/Pao
rnd-1_family-185#Unknown rnd-1_family-185#Unknown rnd-1_family-185#Unknown
rnd-1_family-163#LINE/Penelope rnd-1_family-163#LINE/Penelope rnd-1_family-163#LINE/Penelope
rnd-1_family-301#Unknown rnd-1_family-301#Unknown rnd-1_family-301#Unknown
rnd-1_family-287#Unknown rnd-1_family-287#Unknown rnd-1_family-287#Unknown
rnd-1_family-205#LINE/RTE-BovB rnd-1_family-205#LINE/RTE-BovB rnd-1_family-205#LINE/RTE-BovB
rnd-1_family-85#Unknown rnd-1_family-85#Unknown rnd-1_family-85#Unknown
rnd-1_family-231#Unknown rnd-1_family-231#Unknown rnd-1_family-231#Unknown
rnd-1_family-144#LINE/Penelope rnd-1_family-144#LINE/Penelope rnd-1_family-144#LINE/Penelope
rnd-1_family-20#LINE/RTE-BovB rnd-1_family-20#LINE/RTE-BovB rnd-1_family-20#LINE/RTE-BovB
rnd-1_family-318#Unknown rnd-1_family-318#Unknown rnd-1_family-318#Unknown
rnd-1_family-415#LTR/Gypsy rnd-1_family-415#LTR/Gypsy rnd-1_family-415#LTR/Gypsy
rnd-1_family-398#Unknown rnd-1_family-398#Unknown rnd-1_family-398#Unknown
rnd-1_family-40#Unknown rnd-1_family-40#Unknown rnd-1_family-40#Unknown
rnd-1_family-394#Unknown rnd-1_family-394#Unknown rnd-1_family-394#Unknown
rnd-1_family-380#Unknown rnd-1_family-380#Unknown rnd-1_family-380#Unknown
rnd-1_family-109#Unknown rnd-1_family-109#Unknown rnd-1_family-109#Unknown
rnd-1_family-295#Unknown rnd-1_family-295#Unknown rnd-1_family-295#Unknown
rnd-1_family-331#Unknown rnd-1_family-331#Unknown rnd-1_family-331#Unknown
