rnd-6_family-498#LTR/Pao rnd-6_family-498#LTR/Pao 937 306 403 553 1463 1407 1086 441 6596
rnd-6_family-6#LINE/RTE-BovB rnd-6_family-6#LINE/RTE-BovB 8774 3459 4375 4760 25336 24923 16466 6787 94880
rnd-6_family-13#LINE/Penelope rnd-6_family-13#LINE/Penelope 284 156 104 77 722 750 436 269 2798
rnd-6_family-168#LINE/CR1 rnd-6_family-168#LINE/CR1 14 0 2 4 14 16 2 0 52
rnd-6_family-397#Unknown rnd-6_family-397#Unknown 0 0 0 0 0 0 0 0 0
rnd-6_family-364#Unknown rnd-6_family-364#Unknown 2 0 0 0 8 10 2 4 26
rnd-6_family-295#LTR/Pao rnd-6_family-295#LTR/Pao 0 0 0 0 0 0 0 0 0
rnd-6_family-284#LINE/Penelope rnd-6_family-284#LINE/Penelope 10 4 2 0 12 12 2 0 42
rnd-6_family-610#Unknown rnd-6_family-610#Unknown 34 6 0 8 68 60 20 0 196
rnd-6_family-1067#Unknown rnd-6_family-1067#Unknown 0 0 0 2 4 8 0 2 16
rnd-6_family-319#LTR/Gypsy rnd-6_family-319#LTR/Gypsy 48 50 46 44 144 120 58 32 542
rnd-6_family-1649#Unknown rnd-6_family-1649#Unknown 0 0 0 0 0 0 0 0 0
rnd-6_family-462#Unknown rnd-6_family-462#Unknown 12 4 2 2 18 50 40 24 152
rnd-6_family-1202#Unknown rnd-6_family-1202#Unknown 0 0 0 0 2 8 0 0 10
rnd-6_family-454#LINE/CR1 rnd-6_family-454#LINE/CR1 239 114 141 145 589 668 409 136 2441
rnd-6_family-1233#Unknown rnd-6_family-1233#Unknown 895 751 358 286 2550 2599 6575 3621 17635
rnd-6_family-1090#Unknown rnd-6_family-1090#Unknown 16 8 8 14 28 50 10 10 144
rnd-6_family-209#Unknown rnd-6_family-209#Unknown 23 12 2 9 26 20 5 2 99
rnd-6_family-611#Unknown rnd-6_family-611#Unknown 604 532 256 130 740 813 617 445 4137
rnd-6_family-208#LINE/CR1 rnd-6_family-208#LINE/CR1 8 0 26 22 8 2 4 0 70
rnd-6_family-184#Unknown rnd-6_family-184#Unknown 0 0 0 0 2 0 0 0 2
rnd-6_family-214#LTR/Gypsy rnd-6_family-214#LTR/Gypsy 2 0 0 2 0 2 2 0 8
rnd-6_family-61#Unknown rnd-6_family-61#Unknown 20 4 2 8 50 48 13 2 147
rnd-6_family-318#LTR/Gypsy rnd-6_family-318#LTR/Gypsy 330 288 458 354 178 184 136 106 2034
rnd-6_family-1721#Unknown rnd-6_family-1721#Unknown 6 4 6 4 2 6 4 4 36
rnd-6_family-461#Unknown rnd-6_family-461#Unknown 0 0 0 0 0 0 0 0 0
rnd-6_family-89#Unknown rnd-6_family-89#Unknown 0 2 0 0 0 2 2 0 6
rnd-6_family-239#DNA/TcMar-Tc1 rnd-6_family-239#DNA/TcMar-Tc1 0 0 0 0 0 2 0 0 2
rnd-6_family-15#LINE rnd-6_family-15#LINE 304 216 187 109 636 661 534 301 2948
rnd-6_family-504#Unknown rnd-6_family-504#Unknown 439 368 226 145 984 982 820 628 4592
rnd-6_family-216#LINE/CR1-Zenon rnd-6_family-216#LINE/CR1-Zenon 875 323 748 668 3231 3153 9736 4791 23525
rnd-6_family-955#LINE/RTE-BovB rnd-6_family-955#LINE/RTE-BovB 2 0 0 0 2 2 0 0 6
rnd-6_family-509#LINE/CR1 rnd-6_family-509#LINE/CR1 820 208 125 222 1986 1976 520 254 6111
rnd-6_family-429#Unknown rnd-6_family-429#Unknown 0 2 0 0 8 2 2 2 16
rnd-6_family-896#Unknown rnd-6_family-896#Unknown 0 2 0 2 4 16 8 4 36
rnd-6_family-2096#Unknown rnd-6_family-2096#Unknown 0 0 0 0 2 2 0 0 4
rnd-6_family-473#Unknown rnd-6_family-473#Unknown 0 0 0 0 0 0 0 0 0
rnd-6_family-1229#Unknown rnd-6_family-1229#Unknown 0 0 0 0 0 0 0 0 0
rnd-6_family-54#LTR/Gypsy rnd-6_family-54#LTR/Gypsy 1908 1102 1918 1042 2815 2771 2802 2055 16413
rnd-6_family-553#Unknown rnd-6_family-553#Unknown 94 49 33 35 154 104 139 66 674
rnd-6_family-834#DNA/TcMar-ISRm11 rnd-6_family-834#DNA/TcMar-ISRm11 32 32 122 94 188 212 34 24 738
rnd-6_family-1362#LINE/Penelope rnd-6_family-1362#LINE/Penelope 195 73 77 112 490 490 231 104 1772
rnd-6_family-331#Unknown rnd-6_family-331#Unknown 12 4 0 2 4 8 0 2 32
rnd-6_family-66#LINE/RTE-BovB rnd-6_family-66#LINE/RTE-BovB 2803 1044 1675 1600 8941 8884 8574 3681 37202
rnd-6_family-549#LINE/CR1 rnd-6_family-549#LINE/CR1 0 0 0 2 0 0 0 0 2
rnd-6_family-1227#Unknown rnd-6_family-1227#Unknown 0 0 0 0 2 0 0 0 2
rnd-6_family-899#Unknown rnd-6_family-899#Unknown 0 4 4 8 8 6 0 0 30
rnd-6_family-221#LTR/Gypsy rnd-6_family-221#LTR/Gypsy 38 12 32 24 76 94 72 42 390
rnd-6_family-1567#Unknown rnd-6_family-1567#Unknown 0 0 0 0 0 0 0 0 0
