target_id	length	eff_length	est_counts	tpm
rnd-1_family-102#Unknown	168	37.5346	314.365	3827.54
rnd-1_family-219#Unknown	489	325.602	34.5697	48.5205
rnd-1_family-405#Unknown	718	553.034	156.068	128.967
rnd-1_family-199#Unknown	71	30.5714	15.981	238.894
rnd-1_family-408#Unknown	190	53.5729	31.2531	266.603
rnd-1_family-309#Unknown	57	26.55	0	0
rnd-1_family-68#DNA/CMC-EnSpm	1936	1770.43	2577.59	665.352
rnd-1_family-131#Unknown	205	64.9914	37.361	262.712
rnd-1_family-264#Unknown	249	100.485	0	0
rnd-1_family-127#LINE/RTE-BovB	1529	1363.43	605.549	202.971
rnd-1_family-134#Unknown	350	191.149	51.7548	123.736
rnd-1_family-128#LINE/RTE-BovB	604	439.384	321.839	334.743
rnd-1_family-56#LINE/RTE-BovB	111	9.89855	135.345	6248.67
rnd-1_family-92#LINE/CR1	1958	1792.43	426.039	108.624
rnd-1_family-187#LINE/CR1	1334	1168.43	36.4959	14.2744
rnd-1_family-111#LINE/Penelope	962	796.756	989.252	567.412
rnd-1_family-88#LINE/CR1	1195	1029.43	7.66693	3.40362
rnd-1_family-393#LINE/CR1	2002	1836.43	235.295	58.5537
rnd-1_family-310#Unknown	103	8.57036	27.8082	1482.83
rnd-1_family-25#Unknown	665	500.196	17.673	16.1469
rnd-1_family-50#LINE/CR1	2858	2692.43	268.313	45.5421
rnd-1_family-155#Unknown	153	28.2523	0	0
rnd-1_family-147#LTR/Gypsy	2678	2512.43	7653	1392.05
rnd-1_family-13#DNA/CMC-EnSpm	731	565.979	1224.35	988.601
rnd-1_family-71#LINE/CR1	1167	1001.43	174.322	79.5514
rnd-1_family-22#LINE/CR1	2446	2280.43	1010.99	202.603
rnd-1_family-0#LINE/RTE-BovB	1756	1590.43	1336.44	384.019
rnd-1_family-330#Unknown	698	533.143	172.856	148.169
rnd-1_family-281#LINE/CR1	1069	903.43	26	13.1521
rnd-1_family-422#Unknown	61	29.1429	2	31.3628
rnd-1_family-16#Unknown	2306	2140.43	1672.94	357.188
rnd-1_family-357#DNA/CMC-EnSpm	634	469.245	60.4467	58.8694
rnd-1_family-222#LINE/Penelope	711	546.089	18.2012	15.2319
rnd-1_family-241#Unknown	428	265.651	1924.55	3310.81
rnd-1_family-328#Unknown	289	134.74	46.1715	156.601
rnd-1_family-99#LINE/RTE-BovB	153	28.2523	116.755	1888.6
rnd-1_family-166#LINE/RTE-BovB	605	440.384	12.0934	12.5497
rnd-1_family-34#LINE/CR1	2418	2252.43	3659.76	742.537
rnd-1_family-42#Unknown	1397	1231.43	41.6396	15.453
rnd-1_family-354#LINE/Penelope	480	316.699	0	0
rnd-1_family-38#Unknown	168	37.5346	18.4904	225.129
rnd-1_family-182#Unknown	150	26.5142	38.6895	666.854
rnd-1_family-437#Unknown	68	31	4.07144	60.021
rnd-1_family-15#Unknown	356	196.774	674.71	1566.99
rnd-1_family-10#SINE/tRNA	273	120.879	2350.59	8886.73
rnd-1_family-70#LINE/RTE-BovB	759	593.979	226.416	174.202
rnd-1_family-305#LINE/CR1	683	518.196	134	118.176
rnd-1_family-327#LINE/CR1	1297	1131.43	29.458	11.8985
rnd-1_family-184#LTR/Gypsy	1889	1723.43	2076.6	550.651
rnd-1_family-378#Unknown	166	36.2296	112.046	1413.35
rnd-1_family-62#LINE/RTE-BovB	382	221.395	482.605	996.185
rnd-1_family-302#Unknown	352	192.933	240.051	568.61
rnd-1_family-224#LINE/Penelope	600	435.384	220	230.923
rnd-1_family-36#LINE/RTE-BovB	730	564.979	265.231	214.541
rnd-1_family-235#Unknown	328	170.536	109	292.096
rnd-1_family-167#LINE/CR1	785	619.979	20.4032	15.0397
rnd-1_family-168#LINE/Penelope	666	501.196	58.7791	53.596
rnd-1_family-361#LINE/RTE-BovB	352	192.933	158	374.255
rnd-1_family-137#Unknown	402	240.51	335.478	637.453
rnd-1_family-190#LINE/L1-DRE	342	183.647	63.1343	157.108
rnd-1_family-198#LINE/CR1	1089	923.43	224.011	110.862
rnd-1_family-126#Unknown	528	363.934	243.848	306.207
rnd-1_family-284#Unknown	300	144.674	207.765	656.296
rnd-1_family-27#LINE/RTE-BovB	1700	1534.43	1185.5	353.078
rnd-1_family-392#Unknown	156	29.9168	6	91.6545
rnd-1_family-203#Unknown	329	171.413	80.318	214.134
rnd-1_family-48#DNA/CMC-EnSpm	569	404.596	379.241	428.361
rnd-1_family-202#LTR/Pao	1044	878.43	12.5156	6.51122
rnd-1_family-185#Unknown	155	29.3807	10.8308	168.468
rnd-1_family-163#LINE/Penelope	1092	926.43	198.109	97.7255
rnd-1_family-301#Unknown	356	196.774	1273.57	2957.82
rnd-1_family-287#Unknown	422	259.809	345.097	607.02
rnd-1_family-205#LINE/RTE-BovB	241	93.6365	74.0027	361.176
rnd-1_family-85#Unknown	1325	1159.43	1608.14	633.866
rnd-1_family-231#Unknown	512	348.433	54.8923	71.996
rnd-1_family-144#LINE/Penelope	1243	1077.43	297.785	126.308
rnd-1_family-20#LINE/RTE-BovB	1537	1371.43	3262.06	1087.01
rnd-1_family-318#Unknown	74	32.5172	11.1918	157.291
rnd-1_family-415#LTR/Gypsy	1361	1195.43	289.225	110.568
rnd-1_family-398#Unknown	169	38.1771	44.7906	536.168
rnd-1_family-40#Unknown	2438	2272.43	260.518	52.3919
rnd-1_family-394#Unknown	145	23.8076	189.45	3636.6
rnd-1_family-380#Unknown	719	554.034	1154.41	952.231
rnd-1_family-109#Unknown	1081	915.43	56.2517	28.082
rnd-1_family-295#Unknown	125	14.6028	100.383	3141.53
rnd-1_family-331#Unknown	109	9.354	14.2452	695.968
rnd-1_family-189#Unknown	234	87.8891	332.114	1726.91
rnd-1_family-207#LINE/Penelope	708	543.089	44.4667	37.418
rnd-1_family-375#LTR/Gypsy	947	781.835	107.621	62.907
rnd-1_family-267#Unknown	455	292.065	703.469	1100.73
rnd-1_family-381#LINE/RTE-BovB	268	116.553	159.81	626.609
rnd-1_family-315#LINE/RTE-BovB	752	586.979	88.2766	68.7291
rnd-1_family-103#LINE/CR1	1545	1379.43	476	157.697
rnd-1_family-175#Unknown	127	15.4772	1039.76	30701.4
rnd-1_family-41#LTR/Pao	3081	2915.43	114.807	17.9963
rnd-1_family-178#LINE/CR1	1794	1628.43	121.056	33.9731
rnd-1_family-106#LINE/RTE-BovB	261	110.535	217.122	897.675
rnd-1_family-84#Unknown	844	678.912	42.0162	28.2827
rnd-1_family-297#Unknown	313	156.566	422.819	1234.16
rnd-1_family-282#Unknown	749	583.979	538.46	421.38
rnd-1_family-104#Unknown	61	29.1429	0	0
rnd-1_family-258#LTR/Pao	476	312.699	2.51795	3.67992
rnd-1_family-373#LINE/CR1	1050	884.43	121.409	62.7343
rnd-1_family-384#Unknown	984	818.595	405.009	226.106
rnd-1_family-132#LTR/Gypsy	2140	1974.43	4941.18	1143.68
rnd-1_family-164#LINE/RTE-BovB	605	440.384	99.4324	103.184
rnd-1_family-151#Unknown	101	8.41135	7.9237	430.506
rnd-1_family-14#LTR/Pao	1381	1215.43	177.461	66.7252
rnd-1_family-228#LTR/Gypsy	1309	1143.43	308.747	123.398
rnd-1_family-399#Unknown	85	36.2222	58.3396	736.047
rnd-1_family-107#Unknown	651	486.245	1432.27	1346.13
rnd-1_family-159#Unknown	99	9.05212	90.326	4560.15
rnd-1_family-179#Unknown	115	11.0822	167.993	6927.59
rnd-1_family-115#LINE/Penelope	616	451.384	656.892	665.067
rnd-1_family-417#Unknown	341	182.722	81.0135	202.621
rnd-1_family-143#LTR/Gypsy	1948	1782.43	1863.22	477.715
rnd-1_family-108#Unknown	872	706.912	410.51	265.384
rnd-1_family-446#Unknown	396	234.75	164	319.268
rnd-1_family-358#Unknown	81	33.2286	1.53787	21.1506
rnd-1_family-298#Unknown	289	134.74	54.9243	186.288
rnd-1_family-260#Unknown	267	115.678	28.5363	112.737
rnd-1_family-47#Unknown	3122	2956.43	124.159	19.1923
rnd-1_family-32#LTR/Pao	4122	3956.43	117.614	13.5854
rnd-1_family-200#LINE/RTE-BovB	307	151.029	6.58831	19.9357
rnd-1_family-403#Unknown	496	332.536	199.811	274.599
rnd-1_family-120#Unknown	392	230.844	825.482	1634.2
rnd-1_family-252#Unknown	562	397.596	66.0522	75.921
rnd-1_family-117#LINE/RTE-BovB	773	607.979	664.019	499.125
rnd-1_family-142#Unknown	244	96.192	0	0
rnd-1_family-225#Unknown	82	34.2286	281.085	3752.89
rnd-1_family-379#Unknown	778	612.979	10.7594	8.02154
rnd-1_family-67#Unknown	1854	1688.43	3137.91	849.327
rnd-1_family-349#LINE/CR1	660	495.245	217.95	201.119
rnd-1_family-44#LTR/Pao	3775	3609.43	672.679	85.1699
rnd-1_family-28#DNA/CMC-EnSpm	499	335.536	66.9281	91.1563
rnd-1_family-95#Unknown	907	741.912	2.41844	1.4897
rnd-1_family-75#LINE/CR1	2566	2400.43	474.338	90.3058
rnd-1_family-193#LTR/Gypsy	1087	921.43	715.728	354.979
rnd-1_family-96#LTR/Gypsy	2510	2344.43	653.494	127.386
rnd-1_family-351#LINE/CR1	1031	865.43	57.5775	30.4045
rnd-1_family-98#LTR/Pao	2878	2712.43	44.052	7.42205
rnd-1_family-77#LINE/CR1	1811	1645.43	166.129	46.1405
rnd-1_family-196#LTR/Gypsy	1559	1393.43	9997.32	3278.8
rnd-1_family-272#LINE/Rex-Babar	758	592.979	302.34	233.01
rnd-1_family-420#Unknown	118	12.0032	158.396	6030.64
rnd-1_family-304#LTR/Gypsy	386	225.215	0	0
rnd-1_family-79#Unknown	179	45.457	243.725	2450.28
rnd-1_family-208#LTR/Gypsy	1914	1748.43	501.47	131.073
rnd-1_family-97#Unknown	209	68.1007	25	167.766
rnd-1_family-78#LINE/CR1	2376	2210.43	643.956	133.136
rnd-1_family-51#Unknown	282	128.489	44.7194	159.055
rnd-1_family-239#LINE/L1	301	145.538	8.32003	26.1256
rnd-1_family-19#LINE/RTE-BovB	747	581.979	344.259	270.33
rnd-1_family-63#Unknown	326	168.641	564.786	1530.51
rnd-1_family-248#Unknown	93	32.3529	15.7184	222.029
rnd-1_family-236#LTR/Gypsy	2123	1957.43	4028.97	940.643
rnd-1_family-165#LINE/CR1	1441	1275.43	185.42	66.4379
rnd-1_family-229#Unknown	120	12.6797	3	108.126
rnd-1_family-192#SINE/tRNA	323	165.848	89.7848	247.405
rnd-1_family-320#Unknown	729	563.979	73.3507	59.4372
rnd-1_family-454#Unknown	332	174.218	381.612	1001.03
rnd-1_family-7#LTR/Pao	2327	2161.43	135.666	28.6845
rnd-1_family-249#Unknown	151	27.1203	24.0105	404.597
rnd-1_family-54#Unknown	1726	1560.43	1942.43	568.878
rnd-1_family-152#LINE/CR1	971	805.676	9.35235	5.3049
rnd-1_family-122#Unknown	383	222.26	257.674	529.817
rnd-1_family-245#Unknown	51	23.1111	2.46136	48.6711
rnd-1_family-364#Unknown	310	153.776	400.732	1190.92
rnd-1_family-255#Unknown	451	288.153	461.291	731.592
rnd-1_family-242#Unknown	235	88.6994	130.47	672.212
rnd-1_family-181#Unknown	137	19.9549	200.834	4599.43
rnd-1_family-247#LINE/Penelope	1259	1093.43	467.575	195.424
rnd-1_family-52#LINE/L2	2731	2565.43	95.03	16.9285
rnd-1_family-312#LINE/CR1	1021	855.43	48.7329	26.0348
rnd-1_family-18#LINE/CR1	1799	1633.43	2000.24	559.628
rnd-1_family-153#Unknown	302	146.416	138.362	431.861
rnd-1_family-339#Unknown	313	156.566	186.329	543.873
rnd-1_family-43#LINE/RTE-BovB	1147	981.43	131.987	61.4596
rnd-1_family-37#LINE/CR1	2904	2738.43	699.103	116.669
rnd-1_family-256#LINE/Rex-Babar	718	553.034	298.959	247.045
rnd-1_family-209#Unknown	308	151.918	28.9511	87.0907
rnd-1_family-216#LINE/RTE-BovB	271	119.149	34	130.409
rnd-1_family-172#LINE/RTE-BovB	331	173.271	164.225	433.142
rnd-1_family-11#LINE/CR1	2666	2500.43	3446.79	629.966
rnd-1_family-123#LINE/Penelope	1228	1062.43	109.133	46.943
rnd-1_family-110#Unknown	179	45.457	710.656	7144.55
rnd-1_family-160#Unknown	139	20.7514	23.102	508.767
rnd-1_family-243#LINE/CR1	1296	1130.43	100.309	40.5523
rnd-1_family-194#Unknown	189	52.8783	1871.57	16175
rnd-1_family-206#Unknown	125	14.6028	4365	136605
rnd-1_family-227#Unknown	105	8.66766	292.961	15446.3
rnd-1_family-294#LINE/CR1	1206	1040.43	88.5148	38.8794
rnd-1_family-218#Unknown	1549	1383.43	445.086	147.029
rnd-1_family-433#Unknown	505	341.468	11.8076	15.8026
rnd-1_family-230#LINE/CR1	1901	1735.43	86.8056	22.859
rnd-1_family-8#LINE/CR1	3578	3412.43	708.316	94.8594
rnd-1_family-135#LINE/RTE-BovB	471	307.823	496.474	737.076
rnd-1_family-342#Unknown	256	106.36	90.6155	389.349
rnd-1_family-455#DNA/TcMar-ISRm11	547	382.674	175.189	209.216
rnd-1_family-21#LINE/RTE-BovB	1759	1593.43	1889.16	541.818
rnd-1_family-371#Unknown	310	153.776	159.242	473.244
rnd-1_family-76#LINE/CR1	1780	1614.43	208.641	59.0604
rnd-1_family-368#Unknown	112	10.1497	12.6023	567.431
rnd-1_family-90#LTR/Gypsy	1935	1769.43	4032.4	1041.47
rnd-1_family-210#LTR/Gypsy	885	719.912	480.616	305.096
rnd-1_family-29#LINE/RTE-BovB	222	78.1155	227.039	1328.25
rnd-1_family-6#Satellite	436	273.434	972.143	1624.78
rnd-1_family-212#LINE/Penelope	1189	1023.43	402.273	179.63
rnd-1_family-129#LTR/Pao	1888	1722.43	57.7625	15.3257
rnd-1_family-299#LINE/RTE-BovB	700	535.089	11	9.39471
rnd-1_family-150#LINE/RTE-BovB	234	87.8891	84.0523	437.051
rnd-1_family-300#Unknown	348	189.246	25.4082	61.3571
rnd-1_family-290#LINE/RTE-BovB	120	12.6797	160.743	5793.5
rnd-1_family-269#Unknown	471	307.823	52.1077	77.3602
rnd-1_family-324#Unknown	272	119.995	88.2421	336.07
rnd-1_family-419#Unknown	300	144.674	23	72.6532
rnd-1_family-145#Unknown	303	147.401	0	0
rnd-1_family-141#Unknown	62	30.1429	0	0
rnd-1_family-53#Unknown	2046	1880.43	552.582	134.294
rnd-1_family-124#LINE/Penelope	1884	1718.43	1154.88	307.13
rnd-1_family-46#DNA/CMC-EnSpm	1589	1423.43	243.654	78.2266
rnd-1_family-456#Unknown	289	134.74	103.061	349.554
rnd-1_family-266#Unknown	212	70.4105	0.0098487	0.0639231
rnd-1_family-17#LINE/CR1	2633	2467.43	403.261	74.6892
rnd-1_family-65#Unknown	2521	2355.43	642.515	124.661
rnd-1_family-211#LINE/CR1	674	509.196	21.7624	19.5316
rnd-1_family-130#LINE/RTE-BovB	356	196.774	36.2724	84.2413
rnd-1_family-259#LINE/CR1	1998	1832.43	191.998	47.8836
rnd-1_family-101#Unknown	892	726.912	6182.36	3886.78
rnd-1_family-149#Unknown	77	33.2903	0	0
rnd-1_family-3#LINE/RTE-BovB	2252	2086.43	2983.65	653.523
rnd-1_family-58#LINE/CR1	2698	2532.43	352.441	63.6013
rnd-1_family-431#LINE/Rex-Babar	468	304.885	77.2199	115.747
rnd-1_family-261#Unknown	292	137.439	535.469	1780.49
rnd-1_family-69#LINE/CR1	1994	1828.43	26.0072	6.50027
rnd-1_family-146#LINE/RTE-BovB	404	242.413	219.278	413.386
rnd-1_family-176#DNA/MULE-MuDR	2818	2652.43	52.3595	9.02129
rnd-1_family-344#Unknown	73	31.5172	9	130.5
rnd-1_family-118#LINE/Penelope	1470	1304.43	612.962	214.748
rnd-1_family-59#Unknown	1816	1650.43	629.192	174.222
rnd-1_family-80#Unknown	1667	1501.43	4754.53	1447.17
rnd-1_family-83#LINE/Penelope	751	585.979	262.746	204.914
rnd-1_family-26#LINE/RTE-BovB	264	113.209	349.466	1410.72
rnd-1_family-447#Unknown	312	155.647	64	187.912
rnd-1_family-9#LTR/Pao	2025	1859.43	47.8516	11.7607
rnd-1_family-33#LINE/CR1	1292	1126.43	1792.72	727.32
rnd-1_family-396#LINE/CR1-Zenon	662	497.196	76.0844	69.9335
rnd-1_family-257#LINE	537	372.75	344.294	422.113
rnd-1_family-332#Unknown	181	46.9141	81.2531	791.504
rnd-1_family-49#LTR/Pao	2989	2823.43	62.7639	10.159
rnd-1_family-195#Unknown	98	9.65625	259.225	12268.3
rnd-1_family-74#SINE?	327	169.589	56.4271	152.057
rnd-1_family-237#Unknown	223	78.9606	105.599	611.175
rnd-1_family-72#SINE?	314	157.534	511.807	1484.74
rnd-1_family-336#Unknown	240	92.7719	50	246.303
rnd-1_family-268#Unknown	172	40.3086	2.07155	23.4864
rnd-1_family-434#Unknown	313	156.566	24.4481	71.3613
rnd-1_family-133#LINE/RTE-BovB	293	138.382	41.0295	135.499
rnd-1_family-57#Unknown	295	140.09	55.5325	181.158
rnd-1_family-169#Unknown	87	37.2162	23.3999	287.341
rnd-1_family-365#DNA/hAT-Ac	60	29.55	154.062	2382.62
rnd-1_family-148#LINE/RTE-BovB	623	458.338	58.286	58.1159
rnd-1_family-424#LINE/Penelope	472	308.792	44.743	66.2179
rnd-1_family-374#LINE/CR1	599	434.384	66	69.4364
rnd-1_family-400#Simple_repeat	309	152.839	457	1366.46
rnd-1_family-61#Unknown	182	47.5999	27.4007	263.071
rnd-1_family-204#LINE/RTE-BovB	203	63.3699	257.189	1854.75
rnd-1_family-407#LINE/Penelope	310	153.776	146	433.892
rnd-1_family-215#Unknown	55	24.55	0	0
rnd-1_family-323#Unknown	69	30.8077	60	890.039
rnd-1_family-345#LINE/Penelope	439	276.352	25.9891	42.978
rnd-1_family-234#Unknown	512	348.433	103.799	136.141
rnd-1_family-442#LINE/CR1	253	103.855	101.45	446.418
rnd-1_family-401#LINE/Rex-Babar	435	272.462	38.2568	64.1682
rnd-1_family-445#buffer	223	78.9606	65	376.201
rnd-1_family-337#LINE	713	548.089	19	15.8423
rnd-1_family-372#LINE/RTE-BovB	128	15.9358	0	0
rnd-1_family-450#LTR/Gypsy	528	363.934	11	13.813
rnd-1_family-430#LINE/Rex-Babar	421	258.809	6	10.5947
rnd-1_family-326#Unknown	81	33.2286	0	0
rnd-1_family-319#LINE/CR1	2239	2073.43	653.277	143.987
rnd-1_family-263#LINE/Penelope	742	576.979	111.405	88.2392
rnd-1_family-154#LTR/Gypsy	1869	1703.43	160.536	43.0691
rnd-1_family-363#Unknown	66	31.5217	62.8861	911.72
rnd-1_family-322#LINE/RTE-BovB	256	106.36	28.6741	123.204
rnd-1_family-251#Unknown	106	8.78933	2	103.99
rnd-1_family-306#LINE/RTE-BovB	79	34.2188	60.069	802.238
rnd-1_family-418#LTR/Pao	97	10.7573	4.47279	190.017
rnd-1_family-177#LTR/Gypsy	2613	2447.43	1667.64	311.393
rnd-1_family-307#LINE/RTE-BovB	214	71.8924	5	31.7837
rnd-1_family-411#LINE/CR1	776	610.979	82.3499	61.5962
rnd-1_family-114#DNA/CMC-EnSpm	1131	965.43	221.331	104.77
rnd-1_family-340#RC/Helitron	496	332.536	1.82787	2.51203
rnd-1_family-343#LINE/CR1	1541	1375.43	73.7462	24.5029
rnd-1_family-286#LTR/Gypsy	600	435.384	1.00839	1.05846
rnd-1_family-100#LINE/RTE-BovB	449	286.211	214.839	343.039
rnd-1_family-329#Unknown	56	25.55	0	0
rnd-1_family-413#Unknown	359	199.492	70	160.358
rnd-1_family-435#LINE/CR1	241	93.6365	1	4.88058
rnd-1_family-157#LINE/RTE-BovB	167	36.8725	234.617	2907.86
rnd-1_family-274#LINE/CR1	1179	1013.43	6.53227	2.94569
rnd-1_family-458#Unknown	188	52.126	37	324.387
rnd-1_family-459#LINE/CR1-Zenon	493	329.569	70.2022	97.3467
rnd-1_family-296#LINE/Penelope	543	378.674	6.01089	7.25421
rnd-1_family-397#LINE/CR1	780	614.979	4.88409	3.62945
rnd-1_family-382#LINE/Penelope	408	246.19	3	5.56887
rnd-1_family-395#LINE/Penelope	660	495.245	48.957	45.1764
rnd-1_family-460#Unknown	203	63.3699	19.4899	140.554
rnd-1_family-461#Unknown	167	36.8725	19	235.488
rnd-1_family-412#LINE/CR1	764	598.979	66	50.3558
rnd-1_family-273#LINE/CR1	500	336.536	24.9111	33.8282
rnd-1_family-346#LINE/Penelope	188	52.126	4	35.0689
rnd-1_family-441#LINE/RTE-BovB	239	91.9165	6.84073	34.0115
rnd-1_family-385#LINE/Penelope	420	257.835	3	5.31736
rnd-1_family-359#LINE	422	259.809	6.25867	11.0089
rnd-1_family-82#LINE/CR1	1646	1480.43	26.6476	8.22598
rnd-1_family-388#LINE/CR1	1038	872.43	62.9225	32.9604
rnd-1_family-283#LINE/RTE-BovB	314	157.534	15.9857	46.3741
rnd-1_family-389#LINE/RTE-BovB	167	36.8725	0	0
rnd-1_family-279#LINE/CR1	1161	995.43	10.1702	4.66914
rnd-1_family-174#LINE/RTE-BovB	560	395.596	3.55974	4.11228
rnd-1_family-386#LINE/Penelope	720	555.034	101.704	83.7406
rnd-1_family-463#Unknown	93	32.3529	63	889.905
rnd-1_family-317#LINE/RTE-BovB	390	229.031	6.40271	12.7758
rnd-1_family-30#LINE/RTE-BovB	909	743.912	19.423	11.932
rnd-1_family-303#LINE/RTE-BovB	488	324.602	2.25096	3.16909
rnd-1_family-391#LINE/Penelope	533	368.824	17	21.0643
rnd-1_family-314#LINE/CR1	670	505.196	28.9116	26.1534
rnd-1_family-214#Unknown	83	35.2286	5.37902e-06	6.97791e-05
rnd-1_family-425#LINE/Penelope	218	74.9818	0	0
rnd-1_family-462#Unknown	654	489.245	319.002	297.977
rnd-1_family-161#LINE/CR1	370	209.767	61.398	133.763
rnd-1_family-201#LINE/RTE-BovB	73	31.5172	0	0
rnd-1_family-91#LINE/RTE-BovB	378	217.484	24.3291	51.1228
rnd-1_family-429#LINE/Penelope	312	155.647	19	55.7865
rnd-1_family-451#LINE/CR1	1191	1025.43	53.1914	23.7057
rnd-1_family-466#Unknown	124	14.2521	99.5803	3193.1
rnd-1_family-444#LINE/CR1	471	307.823	288	427.57
