target_id	length	eff_length	est_counts	tpm
rnd-1_family-443#LINE/RTE-BovB	165	35.5618	34	436.931
rnd-1_family-197#LINE/CR1	2655	2489.43	559.138	102.644
rnd-1_family-66#LINE/RTE-BovB	793	627.979	165.383	120.355
rnd-1_family-308#DNA/CMC-EnSpm	159	31.7417	37.9735	546.722
rnd-1_family-170#LINE/CR1	460	297.006	85.5039	131.564
rnd-1_family-217#Unknown	716	551.089	246	204
rnd-1_family-244#Unknown	115	11.0822	559.512	23072.8
rnd-1_family-262#Unknown	109	9.354	2	97.7123
rnd-1_family-188#LINE/RTE-BovB	157	30.5666	54.3545	812.654
rnd-1_family-406#LINE/CR1-Zenon	199	60.4506	75.0268	567.195
rnd-1_family-89#LINE/CR1	1287	1121.43	20.1821	8.22453
rnd-1_family-5#LTR/Pao	2316	2150.43	795.905	169.143
rnd-1_family-404#Unknown	495	331.536	239.301	329.861
rnd-1_family-291#LINE/RTE-BovB	728	562.979	35.3281	28.6778
rnd-1_family-105#LTR/Pao	2505	2339.43	1387.41	271.027
rnd-1_family-171#Unknown	211	69.5867	415.735	2730.28
rnd-1_family-325#Unknown	228	83.1467	32.1692	176.812
rnd-1_family-86#LINE/CR1	1953	1787.43	62.6465	16.0171
rnd-1_family-240#LINE/CR1	292	137.439	2.09965	6.98157
rnd-1_family-278#LINE/CR1	1154	988.43	12.5013	5.77997
rnd-1_family-270#LINE/Penelope	596	431.47	40.939	43.3614
rnd-1_family-254#Unknown	218	74.9818	33.8919	206.565
rnd-1_family-121#Unknown	69	30.8077	257.593	3821.13
rnd-1_family-180#Unknown	73	31.5172	732.77	10625.2
rnd-1_family-288#LTR/Gypsy	1018	852.43	204.778	109.785
rnd-1_family-250#Unknown	154	28.7925	230.888	3664.7
rnd-1_family-409#Unknown	134	18.5378	23	567.004
rnd-1_family-292#Unknown	124	14.2521	89.9745	2885.08
rnd-1_family-213#Unknown	98	9.65625	54.5292	2580.7
rnd-1_family-426#Unknown	98	9.65625	60	2839.62
rnd-1_family-73#Unknown	1158	992.43	433.868	199.791
rnd-1_family-414#Unknown	66	31.5217	136.964	1985.7
rnd-1_family-293#LTR/Copia	522	358.114	145.618	185.827
rnd-1_family-448#Unknown	521	357.15	0	0
rnd-1_family-220#Unknown	1327	1161.43	388.484	152.861
rnd-1_family-94#LINE/Penelope	720	555.034	216.365	178.15
rnd-1_family-350#LINE/Rex-Babar	833	667.912	76.3815	52.262
rnd-1_family-39#LINE/CR1	3239	3073.43	239.799	35.6567
rnd-1_family-4#Unknown	2139	1973.43	134.182	31.0735
rnd-1_family-140#Unknown	196	58.063	546.041	4297.77
rnd-1_family-138#Unknown	320	163.103	63.3171	177.409
rnd-1_family-87#Unknown	671	506.196	192.573	173.858
rnd-1_family-246#LTR/Gypsy	1108	942.43	95.5614	46.3394
rnd-1_family-362#Unknown	141	21.7498	0	0
rnd-1_family-289#Unknown	128	15.9358	1962.74	56286.9
rnd-1_family-277#LTR/Gypsy	535	370.787	0	0
rnd-1_family-12#LTR/Pao	1800	1634.43	1295.74	362.301
rnd-1_family-226#Unknown	301	145.538	251.071	788.386
rnd-1_family-112#Unknown	437	274.407	654.374	1089.8
rnd-1_family-119#LINE/CR1	1172	1006.43	23	10.4439
rnd-1_family-93#LINE/CR1	1821	1655.43	269.371	74.3629
rnd-1_family-24#Unknown	894	728.912	2594.87	1626.89
rnd-1_family-356#Unknown	243	95.3624	27.0419	129.592
rnd-1_family-390#Unknown	217	74.2099	7.19271	44.2943
rnd-1_family-45#Unknown	848	682.912	165.449	110.718
rnd-1_family-162#Unknown	171	39.5271	29.9645	346.441
rnd-1_family-313#LINE/CR1	677	512.196	667.238	595.335
rnd-1_family-338#LINE/CR1	884	718.912	109.624	69.6861
rnd-1_family-333#LTR/Gypsy	1227	1061.43	2190.92	943.304
rnd-1_family-156#Unknown	94	21.625	36.8725	779.227
rnd-1_family-353#Unknown	422	259.809	225.319	396.333
rnd-1_family-1#LINE/RTE-BovB	3241	3075.43	1381.14	205.233
rnd-1_family-35#Unknown	2383	2217.43	3417.26	704.28
rnd-1_family-60#LINE/CR1	1819	1653.43	202.935	56.0903
rnd-1_family-23#Unknown	3227	3061.43	191.847	28.6383
rnd-1_family-271#Unknown	402	240.51	1027	1951.44
rnd-1_family-387#DNA/MULE-MuDR	918	752.912	4.59974	2.79194
rnd-1_family-316#Unknown	225	80.674	549.242	3111.34
rnd-1_family-31#Unknown	360	200.349	0	0
rnd-1_family-355#LINE/CR1-Zenon	546	381.674	304.549	364.654
rnd-1_family-276#LINE/CR1-Zenon	1289	1123.43	256.305	104.262
rnd-1_family-116#LINE/CR1	2689	2523.43	301.982	54.6899
rnd-1_family-232#LINE/Penelope	526	361.934	471.946	595.909
rnd-1_family-64#LINE/RTE-BovB	653	488.245	1185.94	1110.04
rnd-1_family-173#LINE/RTE-BovB	288	133.867	259.846	887.073
rnd-1_family-55#DNA/hAT-Charlie	441	278.324	109.837	180.349
rnd-1_family-416#Unknown	95	15.7863	114.925	3326.98
rnd-1_family-158#Unknown	311	154.728	131.439	388.217
rnd-1_family-377#Unknown	545	380.674	4798.7	5760.86
rnd-1_family-113#LINE/RTE-BovB	455	292.065	395.252	618.458
rnd-1_family-125#LTR/Pao	1934	1768.43	613.488	158.539
rnd-1_family-136#Unknown	110	9.62915	0	0
rnd-1_family-321#Unknown	356	196.774	957.235	2223.14
rnd-1_family-183#Unknown	168	37.5346	984.933	11992
rnd-1_family-2#LINE/RTE-BovB	1404	1238.43	3219.4	1188.01
rnd-1_family-275#Unknown	56	25.55	4.2195	75.4721
