"","ad1","ad2","juv1","juv2","met1","met2","egg1","egg2"
"ad1",1,0.932525293389274,0.931309574392257,0.930995967148275,0.884908459579035,0.871753819745713,0.908457511688285,0.91806139707823
"ad2",0.932525293389274,1,0.8710783722093,0.871777529814086,0.84956985726894,0.849282703251469,0.86369657847582,0.867273490173078
"juv1",0.931309574392257,0.8710783722093,1,0.991331937550779,0.904631422109068,0.883021815907224,0.889083407502014,0.914502991637164
"juv2",0.930995967148275,0.871777529814086,0.991331937550779,1,0.904578061131906,0.884291676133729,0.889610149751764,0.91458043215801
"met1",0.884908459579035,0.84956985726894,0.904631422109068,0.904578061131906,1,0.973706407349326,0.884158234222124,0.887071633932101
"met2",0.871753819745713,0.849282703251469,0.883021815907224,0.884291676133729,0.973706407349326,1,0.877634207735201,0.876673735525469
"egg1",0.908457511688285,0.86369657847582,0.889083407502014,0.889610149751764,0.884158234222124,0.877634207735201,1,0.947975923812699
"egg2",0.91806139707823,0.867273490173078,0.914502991637164,0.91458043215801,0.887071633932101,0.876673735525469,0.947975923812699,1
