"","PC1"
"rnd-1_family-170#LINE/CR1",0.00273449821832503
"rnd-4_family-111#LTR/Gypsy",0.00270329185247394
"rnd-1_family-375#LTR/Gypsy",0.0027010176859565
"rnd-1_family-949#DNA/TcMar-Tc1",0.00269975900427677
"rnd-1_family-778#Unknown",0.00268207386917161
"rnd-1_family-194#Unknown",0.00267405829787672
"rnd-6_family-2216#Unknown",0.00266750115912664
"rnd-6_family-56#Unknown",0.00266380270197807
"rnd-4_family-549#Unknown",0.00265945860414116
"rnd-1_family-60#LINE/CR1",0.00265581789341213
"rnd-5_family-2138#Unknown",0.00264489848962125
"rnd-1_family-644#Unknown",0.00263207459488388
"rnd-5_family-409#Unknown",0.0026317653990185
"rnd-1_family-395#LINE/Penelope",0.00262120795429731
"rnd-5_family-1351#Unknown",0.00261968053195709
"rnd-1_family-741#LINE/Penelope",0.00261704666036464
"rnd-1_family-40#Unknown",0.00260080580832272
"rnd-5_family-2143#LTR/Pao",0.00259164260995973
"rnd-6_family-1233#Unknown",0.00258769990636402
"rnd-5_family-184#LINE/Penelope",0.00257426861109868
"rnd-5_family-62#Unknown",0.0025741106020871
"rnd-1_family-17#LINE/CR1",0.00257001390595041
"rnd-1_family-925#Unknown",0.00256173206389229
"rnd-5_family-1338#LTR/Gypsy",0.00255419977678
"rnd-3_family-231#Unknown",0.00252992314154685
"rnd-1_family-648#Unknown",0.00252988540134657
"rnd-1_family-827#Unknown",0.00251991235623657
"rnd-5_family-45#DNA/MuLE-NOF",0.00251944079227715
"rnd-6_family-343#Unknown",0.00251311473888118
"rnd-1_family-49#LTR/Pao",0.00251128907116685
"rnd-3_family-15#SINE/tRNA",0.00246238943035697
"rnd-5_family-125#Unknown",0.00245497589927798
"rnd-1_family-843#Unknown",0.00245398442022296
"rnd-4_family-327#Unknown",0.00244694806877126
"rnd-4_family-124#LINE/CR1-Zenon",0.00244266509686505
"rnd-6_family-1394#LINE/Penelope",0.00242359979171349
"rnd-1_family-265#DNA/CMC-EnSpm",0.00242297567738805
"rnd-6_family-318#LTR/Gypsy",0.00241613763384319
"rnd-1_family-563#LTR/Pao",0.00241434092864147
"rnd-6_family-1262#Unknown",0.00240399457665016
"rnd-1_family-191#DNA/CMC-EnSpm",0.00238603656296406
"rnd-1_family-167#LINE/CR1",0.00238277751159039
"rnd-3_family-368#LTR/Pao",0.00237129680499619
"rnd-1_family-541#Unknown",0.00236918595766377
"rnd-6_family-1334#LTR/Pao",0.00235832927697532
"rnd-6_family-993#Unknown",0.0023572726526852
"rnd-6_family-673#Unknown",0.0023471347290327
"rnd-1_family-552#LINE/CR1",0.00234516285343801
"rnd-5_family-240#LTR/Gypsy",0.00233807911144134
"rnd-1_family-685#LTR/Gypsy",0.00231977401435761
"rnd-1_family-459#LINE/CR1-Zenon",0.00231644964898601
"rnd-1_family-673#Unknown",0.00231240534494792
"rnd-1_family-906#LTR/Gypsy",0.00229420510203145
"rnd-1_family-675#LTR/Gypsy",0.00229005046103952
"rnd-1_family-253#LINE/CR1",0.00228614809832516
"rnd-1_family-428#Unknown",0.00228583152047559
"rnd-5_family-1410#LINE/CR1",0.00228409948570648
"rnd-1_family-766#LINE/Penelope",0.00227201013232301
"rnd-5_family-837#Unknown",0.0022712021475125
"rnd-5_family-36#LTR/Gypsy",0.00227087981125427
"rnd-1_family-742#Unknown",0.00226412260987518
"rnd-1_family-361#LINE/RTE-BovB",0.00226069971116965
"rnd-1_family-882#Unknown",0.00225973821013698
"rnd-1_family-239#LINE/L1",0.00225602818295506
"rnd-5_family-246#LTR/Pao",0.00225413355605503
"rnd-1_family-370#LINE/CR1",0.00224185240072847
"rnd-4_family-103#LTR/Gypsy",0.00223857083506228
"rnd-6_family-538#Unknown",0.00223653968566573
"rnd-5_family-672#Unknown",0.00223557885740156
"rnd-1_family-423#LINE/CR1",0.00223144051451997
"rnd-5_family-148#LTR/Gypsy",0.0022282853379831
"rnd-5_family-1493#LINE/CR1",0.00222732696068217
"rnd-5_family-97#LTR/Gypsy",0.0022213105411732
"rnd-1_family-785#Unknown",0.00221810135794774
