"","PC2"
"rnd-6_family-673#Unknown",0.0125289536316099
"rnd-6_family-21#Unknown",0.0101319522403889
"rnd-4_family-11#DNA/CMC-EnSpm",0.00967938438489736
"rnd-1_family-297#Unknown",0.00905101615729226
"rnd-6_family-3101#Satellite",0.00761603679730297
"rnd-1_family-585#Unknown",0.00760040894755768
"rnd-4_family-76#Unknown",0.00741313664091382
"rnd-5_family-895#LINE/L2",0.0071078933888371
"rnd-5_family-661#LTR/Gypsy",0.00698202596091371
"rnd-5_family-2505#LINE/Penelope",0.00691306720464322
"rnd-5_family-2037#Unknown",0.00680030197822173
"rnd-5_family-989#LINE/R2",0.00663426260939683
"rnd-5_family-15#DNA/CMC-EnSpm",0.0062511799680743
"rnd-1_family-529#Unknown",0.00615871669731488
"rnd-1_family-541#Unknown",0.00604755632995809
"rnd-1_family-778#Unknown",0.00603404203750216
"rnd-5_family-1808#Unknown",0.00582129955354919
"rnd-5_family-672#Unknown",0.00578379790537927
"rnd-5_family-1025#LTR/Gypsy",0.00576737650720326
"rnd-3_family-13#Unknown",0.00575166133279986
"rnd-6_family-208#LINE/CR1",0.0056991026856214
"rnd-5_family-1238#DNA/CMC-EnSpm",0.00564940447974485
"rnd-1_family-925#Unknown",0.00559868872218991
"rnd-6_family-318#LTR/Gypsy",0.00556277751336042
"rnd-1_family-152#LINE/CR1",0.00544386482427595
"rnd-1_family-82#LINE/CR1",0.00542678661771934
"rnd-1_family-338#LINE/CR1",0.00522112356340428
"rnd-1_family-93#LINE/CR1",0.00506574198645021
"rnd-1_family-47#Unknown",0.00504966049983144
"rnd-5_family-1891#Unknown",0.00504204603047766
"rnd-1_family-834#LINE/Jockey",0.00503404096618162
"rnd-5_family-119#Unknown",0.00500577173768977
"rnd-5_family-2#Unknown",0.00499249706333509
"rnd-1_family-76#LINE/CR1",0.00487630990211341
"rnd-1_family-961#DNA/CMC-EnSpm",0.00479294599339179
"rnd-4_family-340#Unknown",0.00473951283237063
"rnd-6_family-1394#LINE/Penelope",0.00473840354694489
"rnd-5_family-1804#Unknown",0.00472448130096658
"rnd-1_family-802#DNA/CMC-EnSpm",0.00456795748125749
"rnd-1_family-570#DNA",0.00455478464528994
"rnd-5_family-364#DNA/TcMar-Pogo",0.00453555041611995
"rnd-5_family-675#Unknown",0.00453010266857736
"rnd-1_family-187#LINE/CR1",0.00444559533001948
"rnd-5_family-882#Unknown",0.00441437594027796
"rnd-1_family-521#LTR/Gypsy",0.0043482416412284
"rnd-4_family-406#LINE/CR1",0.00431074018086848
"rnd-5_family-1316#Unknown",0.0043047671792801
"rnd-1_family-620#Unknown",0.00429587865837623
"rnd-1_family-324#Unknown",0.00423004503539096
"rnd-6_family-2368#Unknown",0.00422683535148291
"rnd-1_family-851#Unknown",0.00419881467313192
"rnd-1_family-88#LINE/CR1",0.00415896933828709
"rnd-4_family-963#Unknown",0.00415177892748662
"rnd-5_family-947#Unknown",0.00412733627066492
"rnd-5_family-952#LTR/Gypsy",0.0040827758939393
"rnd-6_family-2216#Unknown",0.00405151122418412
"rnd-1_family-114#DNA/CMC-EnSpm",0.00403378958187044
"rnd-1_family-758#Unknown",0.00401986069367601
"rnd-1_family-218#Unknown",0.00400264588729056
"rnd-1_family-573#Unknown",0.00396396836082666
"rnd-1_family-563#LTR/Pao",0.00395580610959832
"rnd-1_family-50#LINE/CR1",0.00394884146332998
"rnd-5_family-79#LINE/CR1",0.00391079070722944
"rnd-1_family-611#DNA/CMC-EnSpm",0.00389238621203399
"rnd-1_family-321#Unknown",0.00387753536868004
"rnd-1_family-40#Unknown",0.00383499509907597
"rnd-1_family-798#DNA/CMC-EnSpm",0.00382060771723476
"rnd-1_family-332#Unknown",0.00380389102470641
"rnd-1_family-75#LINE/CR1",0.00379075180394709
"rnd-1_family-131#Unknown",0.0037827446431182
"rnd-5_family-533#Unknown",0.00372954237266228
"rnd-1_family-116#LINE/CR1",0.00372890925898423
"rnd-1_family-103#LINE/CR1",0.00368523074556728
"rnd-1_family-60#LINE/CR1",0.00366532627989582
